date,cpi_value,inflation_yoy_pct
2001-01-01,175.6,3.7212049616065945
2001-02-01,176.0,3.529411764705892
2001-03-01,176.1,2.9824561403508643
2001-04-01,176.4,3.2182562902282053
2001-05-01,177.3,3.5630841121495394
2001-06-01,177.7,3.193960511033689
2001-07-01,177.4,2.7214823393167498
2001-08-01,177.4,2.7214823393167498
2001-09-01,178.1,2.5921658986175045
2001-10-01,177.6,2.127659574468077
2001-11-01,177.5,1.894374282433997
2001-12-01,177.4,1.603665521191311
2002-01-01,177.7,1.1958997722095743
2002-02-01,178.0,1.1363636363636465
2002-03-01,178.5,1.3628620102214661
2002-04-01,179.3,1.643990929705219
2002-05-01,179.5,1.2408347433727984
2002-06-01,179.6,1.0692177827799743
2002-07-01,180.0,1.465614430665152
2002-08-01,180.5,1.747463359639223
2002-09-01,180.8,1.516002245929271
2002-10-01,181.2,2.0270270270270174
2002-11-01,181.5,2.2535211267605604
2002-12-01,181.8,2.4802705749718212
2003-01-01,182.6,2.757456387169399
2003-02-01,183.6,3.146067415730336
2003-03-01,183.9,3.025210084033625
2003-04-01,183.2,2.175125488008911
2003-05-01,182.9,1.8941504178273005
2003-06-01,183.1,1.948775055679297
2003-07-01,183.7,2.055555555555544
2003-08-01,184.5,2.216066481994461
2003-09-01,185.1,2.378318584070782
2003-10-01,184.9,2.041942604856528
2003-11-01,185.0,1.9283746556473913
2003-12-01,185.5,2.0352035203520247
2004-01-01,186.3,2.026286966046009
2004-02-01,186.7,1.688453159041381
2004-03-01,187.1,1.7400761283306032
2004-04-01,187.4,2.2925764192139875
2004-05-01,188.2,2.8977583378895444
2004-06-01,188.9,3.1676679410158393
2004-07-01,189.1,2.939575394665228
2004-08-01,189.2,2.5474254742547275
2004-09-01,189.8,2.5391680172879516
2004-10-01,190.8,3.1909140075716547
2004-11-01,191.7,3.621621621621607
2004-12-01,191.7,3.3423180592991875
2005-01-01,191.6,2.8448738593666034
2005-02-01,192.4,3.0530262453133394
2005-03-01,193.1,3.2068412613575736
2005-04-01,193.7,3.3617929562433257
2005-05-01,193.6,2.869287991498415
2005-06-01,193.7,2.541026998411855
2005-07-01,194.9,3.067160232681121
2005-08-01,196.1,3.6469344608879517
2005-09-01,198.8,4.741833508956805
2005-10-01,199.1,4.350104821802936
2005-11-01,198.1,3.3385498174230532
2005-12-01,198.1,3.3385498174230532
2006-01-01,199.3,4.018789144050117
2006-02-01,199.4,3.63825363825363
2006-03-01,199.7,3.4179181771103018
2006-04-01,200.7,3.613835828600931
2006-05-01,201.3,3.9772727272727293
2006-06-01,201.8,4.1817243159525175
2006-07-01,202.9,4.104669061056954
2006-08-01,203.8,3.926568077511483
2006-09-01,202.8,2.012072434607637
2006-10-01,201.9,1.4063284781516971
2006-11-01,202.0,1.9687026754164672
2006-12-01,203.1,2.5239777889954462
2007-01-01,203.437,2.075765178123423
2007-02-01,204.226,2.420260782347028
2007-03-01,205.288,2.798197295943927
2007-04-01,205.904,2.5929247633283525
2007-05-01,206.755,2.709885742672613
2007-06-01,207.234,2.692765113974227
2007-07-01,207.603,2.3178905864958077
2007-08-01,207.667,1.897448478900876
2007-09-01,208.547,2.8338264299802685
2007-10-01,209.19,3.610698365527476
2007-11-01,210.834,4.373267326732666
2007-12-01,211.445,4.108813392417532
2008-01-01,212.174,4.294695655165981
2008-02-01,212.687,4.142959270611968
2008-03-01,213.448,3.9749035501344343
2008-04-01,213.942,3.9037609759888126
2008-05-01,215.208,4.088413823123993
2008-06-01,217.463,4.935966105947864
2008-07-01,219.016,5.497512078341837
2008-08-01,218.69,5.308017162091239
2008-09-01,218.877,4.953319875136075
2008-10-01,216.995,3.7310578899565128
2008-11-01,213.153,1.0999174706166848
2008-12-01,211.398,-0.02222800255385904
2009-01-01,211.933,-0.11358601902212717
2009-02-01,212.705,0.008463140671510772
2009-03-01,212.495,-0.4464787676623838
2009-04-01,212.709,-0.5763244243767063
2009-05-01,213.022,-1.015761495855172
2009-06-01,214.79,-1.2291746182109153
2009-07-01,214.726,-1.9587610037622771
2009-08-01,215.445,-1.4838355663267633
2009-09-01,215.861,-1.377942862886472
2009-10-01,216.509,-0.22396829420033848
2009-11-01,217.234,1.9145871744709275
2009-12-01,217.347,2.8141231232083674
2010-01-01,217.488,2.6211113889767157
2010-02-01,217.281,2.151336357866529
2010-03-01,217.353,2.2861714393279886
2010-04-01,217.403,2.2067707525304403
2010-05-01,217.29,2.003548929218568
2010-06-01,217.199,1.1215605940686268
2010-07-01,217.605,1.3407784804821077
2010-08-01,217.923,1.1501775395112546
2010-09-01,218.275,1.1183122472331775
2010-10-01,219.035,1.1666951489314625
2010-11-01,219.59,1.084544776600338
2010-12-01,220.472,1.437793022217937
2011-01-01,221.187,1.7007834915029774
2011-02-01,221.898,2.124898173333145
2011-03-01,223.046,2.619241510354109
2011-04-01,224.093,3.0772344447868694
2011-05-01,224.806,3.4589718808964998
2011-06-01,224.806,3.5023181506360412
2011-07-01,225.395,3.5798809769996165
2011-08-01,226.106,3.75499603070808
2011-09-01,226.597,3.812621692818685
2011-10-01,226.75,3.5222681306640524
2011-11-01,227.169,3.451432214581729
2011-12-01,227.223,3.062066838419386
2012-01-01,227.842,3.0087663379855023
2012-02-01,228.329,2.8981784423473878
2012-03-01,228.807,2.5828752813320977
2012-04-01,229.187,2.2731633741348567
2012-05-01,228.713,1.7379429374660749
2012-06-01,228.524,1.653870448297634
2012-07-01,228.59,1.4175114798464783
2012-08-01,229.918,1.6859349154821235
2012-09-01,231.015,1.9497168982819613
2012-10-01,231.638,2.1556780595369363
2012-11-01,231.249,1.7960197033926262
2012-12-01,231.221,1.7595049796895523
2013-01-01,231.679,1.684061762098299
